Serial Bubble Sort Runtimes
N: 10000 Time elapsed: 6.22055983543396
N: 20000 Time elapsed: 25.063486099243164
N: 30000 Time elapsed: 55.51554298400879
N: 40000 Time elapsed: 99.27286005020142
N: 50000 Time elapsed: 151.33361959457397
N: 60000 Time elapsed: 218.38566946983337
N: 70000 Time elapsed: 298.73257207870483
N: 80000 Time elapsed: 400.15744185447693
N: 90000 Time elapsed: 506.6434631347656
N: 100000 Time elapsed: 631.2018895149231
N: 110000 Time elapsed: 763.1122889518738
N: 120000 Time elapsed: 903.9526731967926

Serial Merge Sort Runtimes
N: 100000 Time elapsed: 1.2808151245117188
N: 200000 Time elapsed: 4.756868362426758
N: 300000 Time elapsed: 10.712953567504883
N: 400000 Time elapsed: 18.455665111541748
N: 500000 Time elapsed: 27.8916654586792
N: 600000 Time elapsed: 39.059773683547974
N: 700000 Time elapsed: 52.11384391784668
N: 800000 Time elapsed: 68.08529949188232
N: 900000 Time elapsed: 86.71228075027466
N: 1000000 Time elapsed: 108.63948249816895
N: 1100000 Time elapsed: 133.95868182182312
N: 1200000 Time elapsed: 167.14591550827026
N: 1300000 Time elapsed: 203.35413074493408
N: 1400000 Time elapsed: 244.21723794937134
N: 1500000 Time elapsed: 296.0055124759674
N: 1600000 Time elapsed: 354.2265706062317
N: 1700000 Time elapsed: 417.88126611709595
N: 1800000 Time elapsed: 486.69269585609436
N: 1900000 Time elapsed: 565.01500248909
N: 2000000 Time elapsed: 652.4025373458862
N: 2100000 Time elapsed: 747.4071893692017
N: 2200000 Time elapsed: 854.5761153697968
N: 2300000 Time elapsed: 969.7004764080048

Serial Shell Sort Runtimes
N: 10000000 Time elapsed: 65.71504402160645
N: 20000000 Time elapsed: 139.41866636276245
N: 30000000 Time elapsed: 211.6805260181427
N: 40000000 Time elapsed: 297.68312883377075
N: 50000000 Time elapsed: 380.86518836021423
N: 60000000 Time elapsed: 461.5289361476898
N: 70000000 Time elapsed: 558.4267330169678
N: 80000000 Time elapsed: 642.0363094806671
N: 90000000 Time elapsed: 726.2955887317657
N: 100000000 Time elapsed: 857.5951561927795
N: 110000000 Time elapsed: 1011.8047289848328

Serial Bucket Sort Runtimes
N: 10000000 Time elapsed: 14.405425548553467
N: 20000000 Time elapsed: 31.961091995239258
N: 30000000 Time elapsed: 50.82568049430847
N: 40000000 Time elapsed: 67.79504418373108
N: 50000000 Time elapsed: 147.2260229587555
N: 60000000 Time elapsed: 568.2459642887115
N: 70000000 Time elapsed: 989.1458294391632

